"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral coarse sediment",27.22,1837,37.17,97.21,148.31,5.45,1,0.79,0.41
"Circalittoral coarse sediment",10.05,1106,8.91,22.76,27.5,2.74,0.92,0.52,0.24
"Circalittoral sand",4.54,695,4.64,12.86,17.26,3.8,0.96,0.76,0.34
"Offshore circalittoral sand",2.62,475,5.32,15.19,16.73,6.39,1,0.97,0.37
"Offshore circalittoral mixed sediment",1.76,179,1.03,2.38,5.17,2.93,1,0.8,0.39
"Infralittoral sand",1.2,412,1.85,3.63,3.1,2.59,0.93,0.64,0.23
"Circalittoral mud",0.68,157,0.46,1.41,2.15,3.17,0.95,0.63,0.2
"Infralittoral coarse sediment",1.31,338,2.88,4.67,1.57,1.2,0.93,0.45,0.17
"Offshore circalittoral mud",0.18,51,0.2,0.6,1.05,5.71,1,0.98,0.33
"Infralittoral mud",0.23,114,0.32,0.82,0.66,2.91,0.88,0.68,0.18
"Offshore circalittoral rock and biogenic reef",0.43,312,0.23,0.61,0.49,1.15,1,0.32,0.28
"Circalittoral rock and biogenic reef",0.81,404,0.15,0.36,0.34,0.42,0.8,0.25,0.16
"Unknown",0.42,275,0.06,0.14,0.25,0.6,0.82,0.29,0.09
"Infralittoral rock and biogenic reef",0.35,283,0.27,0.51,0.25,0.71,0.75,0.2,0.09
"Circalittoral mixed sediment",0.62,116,0.06,0.15,0.19,0.32,0.82,0.25,0.25
"Infralittoral mixed sediment",0.01,21,0,0,0,0.1,0.2,0.1,0.05
