"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral coarse sediment",27.22,"<0.1","   0.2","   0.6","   2.2"," 5.7","10.6","17.4","27.1","40.2"," 59.7"
"Circalittoral coarse sediment",10.05,"   0.0","<0.1","<0.1","   0.4"," 1.4"," 3.0"," 6.6","12.5","23.1"," 43.4"
"Circalittoral sand",4.54,"<0.1","   0.2","   1.4","   4.0"," 7.3","11.4","18.4","27.7","40.7"," 62.1"
"Offshore circalittoral sand",2.62,"   0.9","   2.7","   7.6","  13.2","19.4","28.2","37.0","47.8","59.2"," 76.9"
"Offshore circalittoral mixed sediment",1.76,"<0.1","   0.3","   1.9","   5.3","12.5","19.1","26.7","40.3","51.8"," 70.2"
"Infralittoral sand",1.2,"   0.0","<0.1","   0.4","   1.8"," 5.0","11.7","19.8","37.7","52.1"," 76.0"
"Circalittoral mud",0.68,"<0.1","   0.1","   1.2","   2.5"," 4.7"," 7.6","13.4","21.1","33.4"," 61.7"
"Infralittoral coarse sediment",1.31,"   0.0","<0.1","   0.2","   1.0"," 3.0"," 7.3","15.6","22.4","32.8"," 59.4"
"Offshore circalittoral mud",0.18,"   1.4","   5.4","  14.5","  17.2","20.3","30.7","34.6","38.7","42.8"," 67.3"
"Infralittoral mud",0.23,"   0.0","   0.0","   0.3","   1.9"," 6.4","12.5","18.4","42.1","58.4"," 85.8"
"Offshore circalittoral rock and biogenic reef",0.43,"   0.6","   1.2","   2.8","   4.4"," 6.0"," 7.4"," 9.9","12.7","18.4"," 27.1"
"Circalittoral rock and biogenic reef",0.81,"   0.0","   0.0","   0.0","   0.6"," 2.3"," 6.6","11.9","22.6","39.0"," 55.3"
"Unknown",0.42,"   0.0","   0.0","<0.1","   0.9"," 2.8"," 4.0"," 7.4","14.3","22.8"," 40.1"
"Infralittoral rock and biogenic reef",0.35,"   0.0","   0.0","   0.0","<0.1"," 0.2"," 0.6"," 1.1"," 2.7"," 5.4"," 25.7"
"Circalittoral mixed sediment",0.62,"   0.0","   0.0","<0.1","   0.7"," 1.4"," 3.1","11.1","22.7","41.2"," 64.8"
"Infralittoral mixed sediment",0.01,"   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0"," 0.0","100.0"
