"MSFD habitat code","Extent of habitat (in 1000 km^2)","Number of grid cells","Landings 10^3 tonnes","Value 10^6 euro","Swept area in 1000 km^2","Proportion of grid cells fished (I-2)","Proportion of area fished (I-3)","Fishing intensity (I-1)","Average impact (I-6)","Proportion of habitat fished with 90% of effort (I-4)"
"Offshore circalittoral sand",68.81,3784,99.08,119.49,96.23,0.99,0.75,1.39,0.13,0.63
"Circalittoral sand",58.31,3232,146.07,130.6,92.6,0.98,0.72,1.58,0.12,0.57
"Offshore circalittoral mud",29.35,1640,41.99,49.02,71.78,1,0.91,2.44,0.21,0.67
"Circalittoral coarse sediment",16.53,917,14.61,12.17,11.48,0.78,0.37,0.7,0.05,0.34
"Offshore circalittoral coarse sediment",14.14,763,11.06,25.72,24.92,0.93,0.57,1.74,0.12,0.4
"Unknown",9.5,514,9.57,34.1,15.78,0.84,0.53,1.67,0.13,0.36
"Infralittoral sand",6.85,378,18.13,32.49,14.26,0.97,0.8,2.08,0.12,0.61
"Circalittoral mud",3.32,181,6.04,11.21,7.58,0.97,0.73,2.24,0.17,0.51
"Circalittoral mixed sediment",3,171,1.89,2.27,1.9,0.93,0.46,0.64,0.09,0.5
"Offshore circalittoral mixed sediment",1.85,105,1.34,2.3,2.53,0.99,0.7,1.38,0.17,0.59
"Infralittoral coarse sediment",1.11,62,1.13,0.87,1.74,0.97,0.81,1.57,0.06,0.68
"Infralittoral mud",0.2,11,0.11,0.42,0.23,0.91,0.59,1.09,0.09,NA
"Infralittoral mixed sediment",0.1,5,0,0,0,1,0.05,0.05,0,NA
