"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Upper bathyal sediment",61.59,4302,35.7,50.04,69.95,1.14,0.51,0.31,0.21
"Offshore circalittoral mud",8.81,1230,10.66,34.33,50.56,5.74,0.9,0.81,0.31
"Offshore circalittoral sand",2.55,332,10.96,16.17,34.48,13.52,0.97,0.96,0.4
"Circalittoral sand",3.48,373,16.46,11.48,18.71,5.38,0.99,0.9,0.45
"Offshore circalittoral mixed sediment",1.1,245,0.65,2.47,3.7,3.36,0.96,0.69,0.32
"Circalittoral mixed sediment",0.58,250,3.33,1.74,2.08,3.57,0.94,0.71,0.24
"Offshore circalittoral rock and biogenic reef",4.31,1919,0.27,1.37,1.94,0.45,0.32,0.19,0.07
"Upper bathyal rock and biogenic reef",2.3,1105,0.14,0.55,1.01,0.44,0.17,0.15,0.05
"Infralittoral sand",0.27,135,0.16,0.3,0.93,3.5,0.87,0.66,0.21
"Unknown",5.85,2156,0.08,0.28,0.54,0.09,0.2,0.06,0.03
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",2.36,988,0.07,0.29,0.51,0.22,0.14,0.09,0.02
"Circalittoral mud",0.37,406,0.05,0.17,0.35,0.94,0.41,0.15,0.04
"Offshore circalittoral coarse sediment",0.1,213,0.1,0.2,0.28,2.82,0.69,0.49,0.08
"Circalittoral coarse sediment",0.16,256,0.11,0.18,0.28,1.75,0.71,0.45,0.11
"Circalittoral rock and biogenic reef",1.3,1742,0.03,0.2,0.22,0.17,0.25,0.08,0.04
"Infralittoral rock and biogenic reef",0.96,1703,0.01,0.09,0.1,0.1,0.2,0.06,0.03
"Infralittoral mud",0.2,334,0,0.02,0.02,0.1,0.25,0.07,0.07
"Infralittoral mixed sediment",0.03,96,0.02,0.01,0.02,0.53,0.48,0.15,0.12
"Infralittoral coarse sediment",0.05,203,0,0.02,0.02,0.38,0.21,0.13,0.03
"Lower bathyal rock and biogenic reef",0,3,0,0,0,0,0,0,NA
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0,5,0,0,0,0,0,0,NA
