"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral coarse sediment",67.08,"<0.1","   0.6","   2.6","   6.1","  11.6","18.8","27.8","38.9","52.7"," 70.8"
"Offshore circalittoral sand",74.5,"   0.5","   1.7","   5.2","   9.7","  15.4","22.3","30.5","40.7","53.3"," 69.6"
"Offshore circalittoral mud",36.17,"   1.0","   2.2","   5.0","   8.5","  13.0","18.6","25.8","34.8","46.6"," 63.1"
"Unknown",7.79,"   0.0","<0.1","   1.5","   6.0","  14.1","23.4","34.5","46.1","59.7"," 75.7"
"Offshore circalittoral mixed sediment",1.45,"   0.1","   1.3","   4.0","   7.7","  12.8","18.1","26.4","35.4","50.3"," 76.2"
"Upper bathyal sediment",1.13,"   2.7","   5.3","  13.2","  21.0","  28.4","36.4","43.1","53.4","67.1"," 82.6"
"Circalittoral coarse sediment",7.36,"   0.0","   0.0","<0.1","   0.7","   2.0"," 4.0"," 7.3","12.1","20.6"," 35.3"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",1.29,"   0.7","   2.1","   6.1","  13.2","  21.5","30.2","42.7","54.0","66.6"," 83.5"
"Offshore circalittoral rock and biogenic reef",2.51,"<0.1","   0.5","   3.6","   7.5","  12.4","19.3","26.0","37.7","49.9"," 65.6"
"Circalittoral sand",3.54,"   0.0","   0.0","   0.0","   0.1","   1.0"," 2.7"," 7.6","16.6","26.0"," 45.6"
"Infralittoral sand",0.91,"   0.0","   0.0","   0.0","   0.0","<0.1"," 0.2"," 2.2","10.0","29.7"," 52.8"
"Circalittoral rock and biogenic reef",3.05,"   0.0","   0.0","   0.0","   0.0","   0.4"," 2.1"," 6.2","15.6","26.2"," 46.4"
"Infralittoral coarse sediment",0.47,"   0.0","   0.0","<0.1","   0.2","   1.1"," 2.8"," 5.8","11.6","21.8"," 62.9"
"Circalittoral mud",0.52,"   0.0","   0.0","   0.0","   0.0","   0.1"," 2.2"," 6.9","12.9","25.7"," 45.6"
"Infralittoral rock and biogenic reef",0.58,"   0.0","   0.0","   0.0","   0.0","<0.1"," 0.7"," 1.9"," 4.6","13.9"," 28.0"
"Circalittoral mixed sediment",0.19,"   0.0","   0.0","   0.0","<0.1","   0.7"," 7.6","18.8","30.8","63.8"," 80.9"
"Infralittoral mud",0.11,"   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0","  0.0"
"Upper bathyal rock and biogenic reef",0.01,"   1.3","   1.3","   1.3","   1.3","  38.1","38.1","38.1","68.3","68.3","100.0"
"Infralittoral mixed sediment",0.02,"   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0","  0.0"
