"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral mud",5.51,"  0.0","   0.0","   0.2","  3.7","  11.9"," 21.5"," 31.8"," 43.8"," 59.1"," 76.1"
"Circalittoral mixed sediment",1.95,"  0.0","   0.0","<0.1","  0.1","   0.5","  3.2"," 11.8"," 23.6"," 41.3"," 64.8"
"Offshore circalittoral sand",1.68,"  0.0","   0.0","   0.9","  5.2","  14.6"," 25.5"," 37.0"," 51.0"," 65.8"," 81.1"
"Circalittoral sand",2.45,"  0.0","   0.0","   0.0","  0.0","<0.1","  0.2","  0.6","  2.1"," 10.7"," 41.8"
"Offshore circalittoral rock and biogenic reef",1.37,"  0.0","<0.1","   0.5","  1.9","   8.6"," 15.5"," 26.4"," 40.4"," 54.6"," 71.6"
"Offshore circalittoral mixed sediment",0.49,"  0.0","<0.1","   2.6","  8.6","  13.2"," 22.7"," 35.7"," 46.6"," 58.6"," 82.6"
"Upper bathyal sediment",0.31,"  0.0","<0.1","   5.3"," 10.5","  18.3"," 26.1"," 40.7"," 57.7"," 62.9"," 83.3"
"Circalittoral rock and biogenic reef",1.33,"  0.0","   0.0","   0.0","  0.0","   0.4","  1.3","  3.1","  5.3"," 17.7"," 37.9"
"Circalittoral mud",0.49,"  0.0","   0.0","   0.0","  0.0","   0.0","  0.0","  0.2","  3.6","  6.2"," 13.2"
"Offshore circalittoral coarse sediment",0.05,"  1.8","   9.9","  20.4"," 20.4","  20.4"," 31.4"," 48.7","100.0","100.0","100.0"
"Upper bathyal rock and biogenic reef",0.03,"  0.0","   1.5","   6.9"," 26.5","  46.3"," 46.3"," 70.3"," 70.3","100.0","100.0"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0.01,"  4.6","  10.2","  18.5"," 26.8","  26.8"," 39.4"," 56.8"," 56.8","100.0","100.0"
"Infralittoral sand",0.53,"  0.0","   0.0","   0.0","  0.0","   0.0","  0.0","  0.0","  0.0","  0.4","  4.9"
"Unknown",0.11,"  0.0","   0.0","   0.0","  0.0","   0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"Infralittoral rock and biogenic reef",0.1,"  0.0","   0.0","   0.0","  0.0","   0.0","  0.0","  0.0","  0.0","  0.0","  7.5"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0,"100.0"," 100.0"," 100.0","100.0"," 100.0","100.0","100.0","100.0","100.0","100.0"
"Infralittoral mud",0.02,"  0.0","   0.0","   0.0","  0.0","   0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"Infralittoral mixed sediment",0.02,"  0.0","   0.0","   0.0","  0.0","   0.0","  0.0","  0.0","  0.0","  0.0","  0.7"
"Circalittoral coarse sediment",0,"  NaN","   NaN","   NaN","  NaN","   NaN","  NaN","  NaN","  NaN","  NaN","  NaN"
