"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral sand",69.03,6102,98.78,120.04,96.9,1.4,0.99,0.75,0.5
"Circalittoral sand",58.53,5888,130.29,124.87,90.92,1.55,0.98,0.71,0.42
"Offshore circalittoral mud",29.48,2612,43.09,48.98,71.69,2.43,1,0.91,0.49
"Offshore circalittoral coarse sediment",14.15,2175,10.57,25.52,24.34,1.72,0.93,0.56,0.25
"Infralittoral sand",6.43,1391,16.04,26.85,14.56,2.26,0.97,0.81,0.35
"Circalittoral coarse sediment",16.18,2899,16.3,14.03,11.34,0.7,0.77,0.39,0.29
"Unknown",2.2,506,3.58,12.78,7.97,3.63,0.89,0.69,0.17
"Circalittoral mud",3.46,851,16.83,11.62,7.9,2.28,0.98,0.74,0.26
"Offshore circalittoral mixed sediment",1.9,487,1.45,2.43,2.99,1.58,0.99,0.71,0.29
"Circalittoral mixed sediment",3.07,721,2.04,2.41,1.97,0.64,0.9,0.45,0.32
"Infralittoral coarse sediment",1.11,427,1.92,2.46,1.78,1.61,0.96,0.8,0.2
"Infralittoral mud",0.29,356,0.34,1.09,0.5,1.71,0.86,0.55,0.21
"Infralittoral mixed sediment",0.03,54,0.01,0.02,0.01,0.31,0.8,0.12,0.19
"Offshore circalittoral rock and biogenic reef",0,10,0,0.01,0.01,1.49,1,0.5,NA
"Infralittoral rock and biogenic reef",0,6,0,0,0,0.02,0.37,0.02,NA
"Circalittoral rock and biogenic reef",0,5,0,0,0,0.04,0.73,0.04,NA
