"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral sand",69.03,"   0.4","   1.3","   4.6"," 8.8"," 14.1"," 20.3"," 28.1"," 38.7"," 52.9"," 71.7"
"Circalittoral sand",58.53,"<0.1","   0.5","   2.4"," 5.6"," 10.4"," 18.0"," 24.0"," 31.6"," 41.2"," 56.8"
"Offshore circalittoral mud",29.48,"   2.6","   5.4","  10.8","17.0"," 23.7"," 31.8"," 41.3"," 52.4"," 64.2"," 78.8"
"Offshore circalittoral coarse sediment",14.15,"<0.1","<0.1","   0.4"," 1.8","  4.8"," 10.1"," 17.9"," 28.0"," 44.6"," 66.3"
"Infralittoral sand",6.43,"<0.1","   0.4","   4.4"," 9.7"," 23.0"," 39.6"," 49.7"," 58.1"," 67.5"," 79.9"
"Circalittoral coarse sediment",16.18,"   0.0","   0.0","<0.1"," 0.2","  1.0","  4.6"," 10.7"," 32.0"," 43.4"," 60.3"
"Unknown",2.2,"   0.0","   0.0","   0.3"," 2.0","  4.4"," 10.4"," 17.2"," 32.9"," 50.7"," 68.0"
"Circalittoral mud",3.46,"   0.2","   1.1","   4.1"," 8.5"," 14.8"," 20.4"," 26.8"," 37.9"," 51.9"," 73.6"
"Offshore circalittoral mixed sediment",1.9,"   0.2","   1.1","   6.0","12.5"," 20.9"," 29.4"," 40.1"," 51.1"," 67.2"," 79.0"
"Circalittoral mixed sediment",3.07,"   0.0","<0.1","   0.3"," 1.5","  5.7","  9.5"," 20.1"," 28.5"," 45.2"," 63.9"
"Infralittoral coarse sediment",1.11,"<0.1","   0.3","   2.1","66.5"," 72.0"," 75.3"," 80.8"," 85.6"," 89.3"," 93.9"
"Infralittoral mud",0.29,"   0.0","   0.0","<0.1"," 1.0","  4.3"," 12.6"," 24.3"," 41.3"," 61.0"," 81.8"
"Infralittoral mixed sediment",0.03,"   0.0","   0.0","<0.1"," 1.9","  3.3","  3.5","  3.7","  3.9","  9.7"," 11.0"
"Offshore circalittoral rock and biogenic reef",0,"   1.0","   1.4","   3.8"," 3.8","  9.3"," 31.8"," 31.8"," 31.8","100.0","100.0"
"Infralittoral rock and biogenic reef",0,"   0.0","   0.0","   0.0"," 0.0","  0.0","  0.0","  0.0","  4.7","  4.7","100.0"
"Circalittoral rock and biogenic reef",0,"   0.0","   0.0","   0.0","93.7","100.0","100.0","100.0","100.0","100.0","100.0"
