"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,34.99,100,100
5,NA,NA,66.07,85.62,64.46
10,NA,NA,73.11,80.35,61.18
15,NA,NA,75.58,74.27,56.6
20,NA,NA,79.2,70.71,54.24
30,NA,NA,83.56,63.41,49.42
40,NA,NA,87.7,54.53,42.53
60,NA,NA,92.83,32.74,20.88
80,NA,NA,98.13,19.28,12.17
99,NA,NA,100,6.2,3.72
