"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,36.88,100,100
5,NA,NA,65.62,95.12,93.19
10,NA,NA,75.98,91.32,89.32
15,NA,NA,81.59,89.29,87.1
20,NA,NA,86.33,86.22,84.27
30,NA,NA,93,76.55,73.18
40,NA,NA,95.21,62.73,54.35
60,NA,NA,97.8,47.81,39.14
80,NA,NA,100,24.2,12.29
99,NA,NA,100,24.2,12.29
