"MSFD habitat code","Extent of habitat (in 1000 km^2)","Number of grid cells","Landings 10^3 tonnes","Value 10^6 euro","Swept area in 1000 km^2","Proportion of grid cells fished (I-2)","Proportion of area fished (I-3)","Fishing intensity (I-1)","Average impact (I-6)","Proportion of habitat fished with 90% of effort (I-4)"
"Offshore circalittoral sand",165.74,9966,176.38,118.31,318.57,0.89,0.51,1.99,0.06,0.32
"Offshore circalittoral mud",70.69,4325,102.12,95.83,250.03,0.99,0.85,3.58,0.16,0.56
"Offshore circalittoral coarse sediment",24.8,1488,27.86,13.85,27.42,0.91,0.41,1.16,0.05,0.32
"Unknown",9.91,626,0.23,0.38,4.48,0.29,0.13,0.44,0.03,0.08
"Circalittoral sand",5.1,304,10.18,9.09,16.78,0.93,0.71,3.31,0.21,0.48
"Offshore circalittoral rock and biogenic reef",3,192,0.19,0.48,2.67,0.47,0.31,0.86,0.1,0.21
"Offshore circalittoral mixed sediment",1.92,113,1.01,2.64,4.48,0.95,0.56,2.39,0.18,0.35
"Circalittoral rock and biogenic reef",1.01,62,0.04,0.2,0.41,0.55,0.13,0.41,0.04,0.11
"Circalittoral mud",0.95,56,0.05,0.14,0.5,0.75,0.3,0.54,0.06,0.29
"Circalittoral mixed sediment",0.71,42,1.59,1,1.75,0.86,0.52,2.5,0.19,0.33
"Infralittoral rock and biogenic reef",0.67,42,0.02,0.2,0.29,0.38,0.09,0.42,0.05,0.05
"Circalittoral coarse sediment",0.62,37,0.08,0.36,0.28,0.89,0.3,0.46,0.05,0.35
"Upper bathyal rock and biogenic reef",0.39,25,0.01,0,0.29,0.36,0.22,0.72,0.05,0.16
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0.33,22,0,0,0.02,0.09,0.05,0.05,0,0.05
"Infralittoral sand",0.3,18,0.04,0.07,0.21,0.56,0.2,0.69,0.02,NA
"Upper bathyal sediment",0.14,9,0.53,0.05,0.81,0.89,0.78,5.61,0.25,NA
"Infralittoral mud",0.08,5,0,0,0,0.2,0.04,0.04,0.01,NA
"Infralittoral coarse sediment",0.05,3,0,0,0,0.33,0,0,0,NA
