"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Upper bathyal sediment",32.98,"   0.0","0.0","   0.0"," 0.0","   0.0","<0.1"," 0.7"," 5.0","15.9","  38.7"
"Offshore circalittoral sand",21.06,"<0.1","0.1","   1.4"," 4.0","   8.4","  14.0","21.1","30.3","42.2","  60.8"
"Offshore circalittoral coarse sediment",22.45,"   0.0","0.0","<0.1"," 0.5","   1.6","   4.3"," 9.1","16.9","28.3","  47.9"
"Offshore circalittoral mud",0.81,"   0.5","2.2","   6.8","12.2","  17.5","  23.0","28.8","40.1","51.2","  73.8"
"Offshore circalittoral mixed sediment",0.27,"   0.0","0.0","<0.1"," 0.3","   2.5","   4.8","14.8","27.7","43.1","  61.5"
"Circalittoral rock and biogenic reef",1.29,"   0.0","0.0","   0.0"," 0.0","   0.2","   1.6"," 4.4","12.7","28.5","  52.9"
"Circalittoral coarse sediment",1.36,"   0.0","0.0","   0.2"," 1.8","   4.4","   9.9","13.6","22.9","35.9","  51.8"
"Unknown",1.02,"   0.0","0.0","   0.0"," 0.0","<0.1","   0.8"," 3.4"," 7.2","15.2","  24.6"
"Offshore circalittoral rock and biogenic reef",0.34,"   0.0","0.0","   0.1"," 1.3","   2.8","   6.8","11.2","21.4","34.8","  50.1"
"Infralittoral rock and biogenic reef",0.59,"   0.0","0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0"," 0.2"," 3.5","  19.5"
"Circalittoral sand",0.15,"   0.0","0.0","   0.3"," 1.1","   5.5","  10.9","18.2","23.6","40.4","  58.1"
"Lower bathyal sediment",21.35,"   0.0","0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0","   0.0"
"Circalittoral mixed sediment",0.06,"   0.0","0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0"," 0.9"," 9.8","  13.1"
"Infralittoral coarse sediment",0.08,"   0.0","0.0","   0.0"," 0.0","   0.0","   0.0"," 0.5"," 2.2","10.8","  22.0"
"Infralittoral mixed sediment",0.05,"   0.0","0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0"," 1.0"," 2.2","   7.8"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0.17,"   0.0","0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0","   0.0"
"Infralittoral sand",0.02,"   0.0","0.0","   0.0"," 0.0","   0.0","   7.6"," 7.6","15.0","35.1"," 100.0"
"Circalittoral mud",0.04,"   0.0","0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0","   9.9"
"Infralittoral mud",0.02,"   0.0","0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0","<0.1"
"Abyssal",0.02,"   NaN","NaN","   NaN"," NaN","   NaN","   NaN"," NaN"," NaN"," NaN","   NaN"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.49,"   NaN","NaN","   NaN"," NaN","   NaN","   NaN"," NaN"," NaN"," NaN","   NaN"
