"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral mud",21.16,"0.0","0.0","0.0","   0.0","<0.1","2.6","   8.9","18.1","34.0","59.1"
"Offshore circalittoral mixed sediment",19.52,"0.0","0.0","0.0","   0.0","   0.0","0.0","<0.1"," 1.3"," 9.1","33.9"
"Circalittoral sand",33.07,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.2"," 1.9"," 9.2","29.5"
"Infralittoral sand",24.1,"0.0","0.0","0.0","   0.0","   0.0","0.1","   0.9"," 4.0","11.5","29.1"
"Circalittoral mud",22.81,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 2.3","26.3"
"Circalittoral mixed sediment",106.88,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 0.0"," 0.5"
"Offshore circalittoral sand",2.74,"0.0","0.0","0.0","<0.1","   1.2","4.2","  12.2","25.2","46.0","71.6"
"Circalittoral mud or Circalittoral sand",53.9,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 0.0"," 1.8"
"Offshore circalittoral mud or Offshore circalittoral sand",33.81,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 0.2"," 6.2"
"Infralittoral mixed sediment",18.77,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 0.0"," 1.6"
"Infralittoral mud",1.83,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.6"," 6.2","29.2"
"Infralittoral coarse sediment",6.95,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 1.3","10.5"
"Circalittoral coarse sediment",12.21,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 0.0"," 4.1"
"Circalittoral rock and biogenic reef",6.84,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 0.0"," 0.0"
"Infralittoral rock and biogenic reef",3.94,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 0.0"," 0.0"
"Infralittoral mud or Infralittoral sand",3.88,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 0.0"," 0.0"
"Offshore circalittoral coarse sediment",0.72,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 0.0"," 2.0"
"Offshore circalittoral rock and biogenic reef",0.18,"0.0","0.0","0.0","   0.0","   0.0","0.0","   0.0"," 0.0"," 0.0"," 0.0"
"Unknown",0.17,"NaN","NaN","NaN","   NaN","   NaN","NaN","   NaN"," NaN"," NaN"," NaN"
