"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,0,0,99.98,100,100
5,0,0,99.99,100,100
10,0,0,99.99,100,100
15,0,0,99.99,100,100
20,0,0,99.99,83.23,83.23
30,0,0,99.99,83.23,83.23
40,0,0,100,65.27,65.27
60,0,0,100,65.27,65.27
80,0,0,100,65.27,65.27
99,0,0,100,65.27,65.27
