"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,24.68,100,100
5,NA,NA,60.77,74.45,95.92
10,NA,NA,68.66,55.82,92.64
15,NA,NA,73.82,38.69,87.37
20,NA,NA,77.54,24.84,83.57
30,NA,NA,83.37,14.24,74.06
40,NA,NA,87.62,6.24,64.79
60,NA,NA,93.86,0.01,44.53
80,NA,NA,97.69,0,18.62
99,NA,NA,99.93,0,0.37
