"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral mud",9.44,"   0.4","   1.0","   3.7","8.7","14.3","21.6","31.8"," 42.8"," 56.6"," 75.2"
"Circalittoral sand",8.58,"   0.0","   0.0","   0.3","1.3"," 3.5"," 6.7","12.4"," 23.0"," 36.4"," 63.6"
"Offshore circalittoral mixed sediment",3.2,"   0.2","   0.5","   1.7","2.9"," 4.5"," 7.1","10.6"," 17.9"," 26.9"," 43.3"
"Infralittoral sand",11.86,"   0.0","   0.0","   0.0","0.2"," 1.1"," 5.2","12.2"," 20.1"," 31.5"," 57.1"
"Circalittoral mixed sediment",10.03,"   0.0","   0.0","   0.0","0.0"," 0.0"," 0.3"," 1.1","  5.5"," 17.4"," 37.9"
"Circalittoral mud",1.99,"   0.1","   0.8","   3.1","6.2","12.3","19.1","27.5"," 38.4"," 55.9"," 74.0"
"Offshore circalittoral sand",1.47,"<0.1","   0.5","   1.8","4.5"," 9.8","20.4","29.7"," 43.3"," 58.0"," 78.3"
"Circalittoral mud or Circalittoral sand",1.23,"   0.0","<0.1","   0.7","2.3"," 7.7","14.9","20.3"," 33.0"," 50.4"," 69.4"
"Offshore circalittoral mud or Offshore circalittoral sand",1.38,"   0.3","   0.6","   2.2","3.4"," 5.4"," 8.9","12.7"," 18.0"," 24.2"," 34.4"
"Infralittoral coarse sediment",2.69,"   0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 1.0","  3.3","  8.2"," 24.9"
"Circalittoral coarse sediment",1.3,"   0.0","   0.0","   0.0","0.0"," 0.0"," 1.2"," 3.2","  5.3"," 12.1"," 28.5"
"Infralittoral mixed sediment",2.95,"   0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.3","  1.7","  5.5"," 21.6"
"Infralittoral mud",0.24,"   0.0","   0.0","   0.0","0.2"," 4.5","13.6","25.8"," 38.1"," 70.1"," 89.9"
"Infralittoral rock and biogenic reef",0.49,"   0.0","   0.0","   0.0","0.0"," 0.0"," 2.0"," 2.9","  4.4","  9.9"," 18.1"
"Circalittoral rock and biogenic reef",0.05,"   0.0","   0.0","<0.1","1.1"," 2.1","24.8","35.8"," 67.1"," 67.1","100.0"
"Offshore circalittoral coarse sediment",0.02,"<0.1","   0.4","   0.7","1.8"," 4.9","13.1","25.2"," 34.3"," 72.6","100.0"
"Offshore circalittoral rock and biogenic reef",0,"   0.0","   3.7","   3.7","3.7"," 3.7"," 3.7"," 3.7","100.0","100.0","100.0"
"Infralittoral mud or Infralittoral sand",0,"   NaN","   NaN","   NaN","NaN"," NaN"," NaN"," NaN","  NaN","  NaN","  NaN"
