"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral mud",9.44,810,11.87,8.83,25.07,2.66,1,0.86,0.49
"Circalittoral sand",8.57,1242,2.91,2.48,8.83,1.03,0.9,0.47,0.23
"Offshore circalittoral mixed sediment",3.2,484,3.44,2.87,8.82,2.75,1,0.63,0.28
"Infralittoral sand",11.86,1190,1.98,1.41,6.72,0.57,0.74,0.3,0.19
"Circalittoral mixed sediment",10.03,1143,2.5,1.5,4.24,0.42,0.59,0.22,0.18
"Circalittoral mud",1.99,479,1.46,1.23,3.27,1.64,0.98,0.67,0.32
"Offshore circalittoral sand",1.47,314,1.31,1.01,3.22,2.2,0.98,0.71,0.38
"Circalittoral mud or Circalittoral sand",1.23,189,0.65,0.38,1.03,0.84,0.92,0.5,0.33
"Offshore circalittoral mud or Offshore circalittoral sand",1.38,167,0.28,0.22,0.75,0.55,1,0.26,0.36
"Infralittoral coarse sediment",2.69,627,0.12,0.08,0.23,0.09,0.46,0.07,0.12
"Circalittoral coarse sediment",1.3,519,0.06,0.06,0.21,0.16,0.6,0.11,0.11
"Infralittoral mixed sediment",2.95,621,0.15,0.08,0.18,0.06,0.42,0.06,0.12
"Infralittoral mud",0.24,93,0.03,0.03,0.16,0.69,0.71,0.4,0.17
"Infralittoral rock and biogenic reef",0.49,147,0.01,0.01,0.04,0.07,0.58,0.07,0.09
"Circalittoral rock and biogenic reef",0.05,66,0.01,0.01,0.02,0.42,0.84,0.37,0.08
"Offshore circalittoral coarse sediment",0.02,30,0.01,0.01,0.01,0.58,0.97,0.41,0.3
"Offshore circalittoral rock and biogenic reef",0,3,0,0,0,0.22,1,0.22,NA
"Infralittoral mud or Infralittoral sand",0,13,0,0,0,0,0,0,NA
