"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,39.27,100,100
5,NA,NA,66.99,91.61,83.67
10,NA,NA,72.63,86.24,77.22
15,NA,NA,76.7,80.48,71.68
20,NA,NA,79.74,74.18,66.01
30,NA,NA,84.51,63.49,54.4
40,NA,NA,88.12,54.39,45.07
60,NA,NA,93.51,36.42,30.69
80,NA,NA,97.42,18.58,17.35
99,NA,NA,99.92,1.11,1.65
