"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Upper bathyal sediment",22.96,"   0.0","   0.0","   0.0","<0.1","   0.1","   0.7","   2.8","   7.7","  21.0","  47.0"
"Offshore circalittoral sand",2.73,"   2.2","   5.4","   9.3","  14.9","  22.9","  38.3","  51.4","  65.6","  84.2","  94.2"
"Offshore circalittoral mud",2.09,"   2.2","   5.3","   9.3","  13.8","  22.5","  27.7","  34.1","  44.2","  53.6","  78.1"
"Offshore circalittoral coarse sediment",1.99,"   4.4","   7.5","  12.2","  18.5","  25.4","  33.7","  43.1","  51.2","  68.7","  79.2"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",5.71,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.3","   5.6"
"Upper bathyal rock and biogenic reef",1.19,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.1","   2.2","  13.0","  44.6"
"Offshore circalittoral rock and biogenic reef",0.29,"   0.0","   0.4","  26.6","  34.5","  48.9","  60.5","  68.6","  72.6","  73.2","  90.4"
"Offshore circalittoral mixed sediment",0.08,"   1.3","   9.0","  30.3","  30.3","  30.4","  30.4","  49.5","  87.8"," 100.0"," 100.0"
"Unknown",0.05,"   3.5","  13.9","  13.9","  53.5","  53.5","  53.5","  53.5"," 100.0"," 100.0"," 100.0"
"Lower bathyal sediment",12.05,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","   4.2"
"Abyssal",329.39,"   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",21.19,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"Circalittoral sand",0,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 100.0"
"Lower bathyal rock and biogenic reef",0.5,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"Circalittoral rock and biogenic reef",0,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
