"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,1.64,100,100
5,NA,NA,14.63,92.96,93.11
10,NA,NA,20.78,86.39,86.64
15,NA,NA,30.32,79.17,79.88
20,NA,NA,37.68,74.21,74.68
30,NA,NA,50,60.79,62.47
40,NA,NA,60.84,50.48,52.38
60,NA,NA,78.06,31.8,32.82
80,NA,NA,91.95,16.44,18.49
99,NA,NA,100,2.38,2.88
