"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral coarse sediment",144.85,12389,60.68,162.35,261.55,1.81,0.89,0.55,0.27
"Offshore circalittoral sand",129.3,11787,46.56,122.72,243.56,1.88,0.95,0.72,0.39
"Upper bathyal sediment",156.06,10562,48.4,113.12,206.71,1.32,0.6,0.39,0.24
"Offshore circalittoral mud",60.36,5301,32.2,99.94,197.17,3.27,0.98,0.85,0.41
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",43.15,2786,3.11,11.44,30.59,0.71,0.56,0.22,0.14
"Unknown",45.28,6331,3.35,10.09,23.2,0.51,0.61,0.26,0.11
"Offshore circalittoral mixed sediment",9.39,1787,2.73,6.94,9.19,0.98,0.79,0.31,0.17
"Circalittoral coarse sediment",21.46,3873,4.1,10.93,6.17,0.29,0.72,0.15,0.12
"Offshore circalittoral rock and biogenic reef",6.67,3398,1.19,4.28,4.23,0.63,0.75,0.24,0.17
"Circalittoral sand",11.3,2612,1.22,3.23,3.97,0.35,0.65,0.17,0.11
"Circalittoral mud",4.95,1330,0.67,2.02,3.53,0.71,0.8,0.3,0.15
"Circalittoral rock and biogenic reef",10.05,3795,0.86,2.17,2.12,0.21,0.58,0.13,0.14
"Infralittoral sand",2.12,1078,0.71,1.78,1.27,0.6,0.5,0.2,0.03
"Infralittoral coarse sediment",1.4,1103,0.95,2.04,0.66,0.47,0.64,0.19,0.04
"Circalittoral mixed sediment",0.94,588,0.2,0.51,0.44,0.47,0.72,0.27,0.15
"Infralittoral rock and biogenic reef",2.61,2466,0.29,0.67,0.4,0.15,0.53,0.1,0.12
"Upper bathyal rock and biogenic reef",0.82,330,0.09,0.18,0.24,0.3,0.26,0.11,0.06
"Lower bathyal sediment",113.89,7968,0.64,0.28,0.19,0,0.04,0,0.02
"Abyssal",138.22,8088,1.89,0.61,0.15,0,0.03,0,0.02
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",33.97,2272,0.02,0.12,0.07,0,0.08,0,0.04
"Infralittoral mud",0.52,511,0.03,0.11,0.06,0.11,0.41,0.06,0.1
"Infralittoral mixed sediment",0.28,258,0.01,0.04,0.03,0.09,0.34,0.05,0.12
"Lower bathyal rock and biogenic reef",0.5,187,0,0,0,0,0.02,0,0.02
