"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Infralittoral sand",7.7,"0.0","   0.0","   0.0","   0.0"," 0.0","<0.1","   0.4","  2.2","  7.7"," 24.4"
"Circalittoral mud",1.84,"0.0","<0.1","   0.6","   3.5"," 8.9","  14.0","  25.6"," 37.6"," 53.3"," 70.6"
"Circalittoral sand",2.03,"0.0","   0.0","   0.0","<0.1"," 0.4","   2.4","   7.3"," 17.5"," 32.4"," 55.4"
"Offshore circalittoral mud",0.22,"0.0","   0.4","   3.8","   8.2","13.7","  23.7","  37.3"," 53.8"," 73.9"," 85.3"
"Infralittoral mixed sediment",3.18,"0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   0.2","  1.2","  3.9"," 16.8"
"Infralittoral mud",1.22,"0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","<0.1","  0.7","  6.4"," 28.7"
"Circalittoral mixed sediment",0.45,"0.0","   0.0","<0.1","   0.2"," 0.8","   1.5","   5.6"," 15.3"," 26.7"," 63.4"
"Offshore circalittoral sand",0.21,"0.0","   0.0","<0.1","   0.4"," 2.5","   6.8","  12.8"," 21.9"," 36.9"," 56.0"
"Infralittoral coarse sediment",0.74,"0.0","   0.0","   0.0","   0.0"," 0.3","   1.9","   4.4","  8.1"," 17.0"," 34.9"
"Circalittoral coarse sediment",0.07,"0.0","   0.0","   0.0","   0.5"," 4.5","   9.9","  17.5"," 29.7"," 46.9"," 76.2"
"Offshore circalittoral mixed sediment",0.05,"0.0","   0.0","<0.1","   0.4"," 0.4","   0.6","   1.3","  3.8"," 12.2"," 40.4"
"Offshore circalittoral coarse sediment",0.01,"0.0","   0.0","   0.0","   0.0"," 0.0","   4.6"," 100.0","100.0","100.0","100.0"
"Circalittoral rock and biogenic reef",0,"NaN","   NaN","   NaN","   NaN"," NaN","   NaN","   NaN","  NaN","  NaN","  NaN"
"Infralittoral rock and biogenic reef",0.05,"NaN","   NaN","   NaN","   NaN"," NaN","   NaN","   NaN","  NaN","  NaN","  NaN"
"Offshore circalittoral rock and biogenic reef",0,"NaN","   NaN","   NaN","   NaN"," NaN","   NaN","   NaN","  NaN","  NaN","  NaN"
